cas,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,AromaticRings,pEC50
7758896,98.99899999999998,0.6869999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.4316424401733245
7761888,169.872,-0.24160000000000006,66.2,0.0,3.0,0.0,0.0,0.0,7.426529388887366
79622596,465.093,5.986000000000003,111.2,1.0,6.0,4.0,2.0,2.0,7.266166475549627
13356086,1052.7049999999997,16.760799999999968,9.23,0.0,1.0,20.0,6.0,6.0,5.95912453344857
51235042,252.31799999999993,0.5131999999999997,60.13,0.0,4.0,2.0,2.0,1.0,7.079728938826977
67561,32.042,-0.3915,20.23,1.0,1.0,0.0,0.0,0.0,1.6080925247939002
28159980,253.375,2.3782000000000005,62.73,2.0,6.0,4.0,2.0,1.0,8.438899445726745
7758954,278.106,0.9982,0.0,0.0,0.0,0.0,0.0,0.0,5.605863553842385
7758943,126.751,1.3765,0.0,0.0,0.0,0.0,0.0,0.0,4.1029513943783025
7773015,125.84400000000001,-5.9944999999999995,0.0,0.0,0.0,0.0,0.0,0.0,5.587646366528123
13548384,238.00799999999995,-0.7198000000000002,198.6,0.0,9.0,0.0,0.0,0.0,6.980751314666196
12427382,265.312,-0.1732999999999999,24.06,2.0,4.0,3.0,0.0,0.0,6.976282666524153
12122677,275.764,-0.1732999999999999,24.06,2.0,4.0,3.0,0.0,0.0,6.181153819827162
12071839,289.79100000000005,0.21520000000000028,24.06,2.0,4.0,3.0,0.0,0.0,5.696542769835284
8018017,541.076,-0.3465999999999993,48.12,4.0,8.0,6.0,0.0,0.0,5.648193986214265
1689992,403.11400000000003,5.349180000000004,50.09,0.0,3.0,7.0,1.0,1.0,5.453305870258549
950378,302.33900000000006,1.5213999999999999,62.58000000000001,0.0,8.0,6.0,1.0,1.0,4.370918810560099
297972,248.244,2.1529,53.47,0.0,6.0,6.0,1.0,1.0,4.835024645981612
333415,304.35200000000003,3.5847200000000026,53.47,0.0,6.0,7.0,1.0,1.0,5.064713935686362
14816183,298.304,3.2283800000000014,63.839999999999996,0.0,6.0,7.0,1.0,1.0,4.933127903313306
76578148,372.8080000000001,4.4059000000000035,70.54,0.0,6.0,6.0,3.0,3.0,4.797484712770677
